Lambda;R_SR;G_SR;B_SR;R_REF;G_REF;B_REF;EV;R_RAW;G_RAW;B_RAW;Filter calibration
380;0.01645;0.02425;0.01725;2056.3;2618.6;1777;0;3;5;3.5;22
390;0.02425;0.0325;0.06405;2066.8;2631.1;1786.9;0;5.5;7.5;15.5;27
400;0.0263;0.0401;0.21005;2061.7;2621.9;1782.9;0;19;29.5;153;82
410;0.02395;0.05375;0.41335;2085.8;2649;1807;0;28.5;63.5;492.5;132
420;0.01655;0.056;0.493;2056.4;2615.5;1780.3;0;20.5;70.5;622.5;142
430;0.0091;0.06195;0.6627;2055.3;2617.1;1777.3;0;14;93;994;169
440;0.0061;0.083;0.7831;2036.9;2593.8;1762.8;0;10;133;1261.5;183
450;0.00375;0.097;0.84035;2050.9;2614.3;1772.9;0;6;155.5;1346.5;181
460;0.00375;0.12215;0.93195;2047.7;2610;1769.7;0;5.5;186.5;1425;173
470;0.0053;0.2648;0.8506;2065;2629.6;1786;0;9.5;489.5;1578;208
480;0.0079;0.48105;0.762;2090.8;2656.8;1811.4;0;15.5;942;1502.5;218
490;0.0106;0.64585;0.6094;2065.2;2625.6;1789.2;0;25.5;1577.5;1497.5;275
500;0.0202;0.86175;0.49825;2041.6;2600.1;1765.2;0;45.5;1933;1120;255
510;0.0458;0.9461;0.31955;2083.4;2644.4;1806;0;147.5;3038;1035;359
520;0.0955;0.97795;0.1818;2031.6;2591.9;1755.1;0;283;2906.5;540.5;339
530;0.1683;1;0.09765;2051.9;2615;1773.3;0;406;2414.5;236;273
540;0.19095;0.9433;0.06125;2067.7;2630.7;1789.8;0;561.5;2769.5;181;330
550;0.17355;0.93505;0.0402;2089.1;2652.5;1811.1;0;662;3557;154;424
560;0.21005;0.83145;0.0254;2098.1;2661;1818.7;0;868;3420;105.5;457
570;0.392;0.82835;0.02095;2064;2624;1786.9;0;1676.5;3536.5;90;481
580;0.5723;0.6965;0.0171;2070.8;2635.8;1791.3;0;1547.5;1881.5;46;303
590;0.7151;0.53675;0.0143;2078.7;2638.1;1800.6;0;2024;1513.5;40.5;316
600;0.7368;0.37095;0.01065;2120.5;2677.2;1839.4;0;2147.5;1071.5;31.5;319
610;0.8022;0.2221;0.0079;2059.1;2614.3;1778.5;0;2078.5;573.5;20.5;292
620;0.77335;0.1146;0.00615;2080.5;2634.1;1800.6;0;1948;286.5;15.5;281
630;0.7887;0.0884;0.00635;2042.1;2596.5;1766.1;0;1617;181;13;233
640;0.71735;0.06805;0.007;2039.8;2600;1761.2;0;1482;140.5;14.5;235
650;0.6815;0.0541;0.0093;2036.4;2596.8;1758.4;0;1375.5;109.5;19;230
660;0.6255;0.04945;0.0117;2029.1;2586.3;1752.5;0;1274.5;100.5;24;233
670;0.3122;0.0307;0.00735;2037.1;2594.9;1758.9;0;701.5;69;17;256
680;0.07585;0.01055;0.0022;2038.2;2594.2;1761.6;0;144.5;20;4.5;217
690;0.02525;0.00495;0.00095;2017.7;2576;1740.6;0;55.5;11;2;252
700;0.01015;0.00295;0.0003;2024.3;2582.6;1746.3;0;21.5;6;0.5;249
710;0.00585;0.0022;0.0004;2042.5;2603.4;1763.4;0;13;5;1;254
720;0.00375;0.0016;0.0001;2048.8;2612.8;1768.5;0;8.5;4;0;254
730;0.00315;0.0015;0.0003;2050.8;2612.2;1770;0;6.5;3;0.5;224
740;0.00285;0.0014;0.0003;2040.1;2595.6;1762.4;0;6;3;0.5;243
750;0.00325;0.0019;0.0004;2037.9;2591;1761.5;0;6.5;4;0.5;237
760;0.0031;0.0018;0.00075;2029.3;2580.4;1753.3;0;5;3;1;196
770;0.00175;0.00135;0.0001;2028.5;2583.6;1750.3;0;3;2;0;189
780;0.00215;0.00155;0.00035;2034.1;2585;1758.6;0;3.5;2.5;0.5;197
790;0.0022;0.00155;0.0006;2024.9;2576;1749;0;4;3;1;193
800;0.001;0.00095;0.00015;2022.6;2574.6;1746.4;0;2;2;0;196
810;0.00125;0.0009;0.0004;2023.3;2576.6;1745.3;0;2;2;0.5;192
820;0.00095;0.0009;0.0002;2045.9;2603.8;1766.9;0;2;2;0;192
830;0.0019;0.0016;0.00075;2033;2586.4;1755.9;0;2.5;2;0.5;133
840;0.0011;0.00105;0.00045;2030.1;2581.8;1753.6;0;1.5;1.5;0.5;186
860;0.00145;0.0012;0.00045;2034.4;2590.2;1756.7;0;2;2;0.5;159
880;0.00105;0.0011;0.00045;2032;2589.3;1754.2;0;1.5;1.5;0.5;164
900;0.0018;0.00135;0.00085;2104.3;2654.8;1825.7;0;2.5;2;1;152
950;0.0013;0.00125;0.00065;2057.5;2616.3;1779.4;0;1.5;2;1;156
1000;0.001;0.00095;5e-005;2051;2603.7;1775.7;0;1.5;1;0;162
1050;0.00105;0.00095;0.0001;2037.3;2592.6;1761.6;0;1.5;1.5;0;174
1100;0.00145;0.00115;0.0008;2051.5;2608.4;1773.7;0;3;2;1;214
