Lambda;R_SR;G_SR;B_SR;R_REF;G_REF;B_REF;EV;R_RAW;G_RAW;B_RAW;Filter calibration
380;0.013;0.0235;0.01475;1579.4;2351.4;1721.4;0;2.5;4;2.5;22
390;0.02235;0.03315;0.06835;1589.6;2364.7;1732.2;0;5;7;15;27
400;0.02925;0.0474;0.2538;1587.1;2358.1;1728.7;0;19.5;31.5;169;82
410;0.0245;0.05685;0.4363;1609.5;2383.1;1752.2;0;26.5;61.5;474;132
420;0.01725;0.0579;0.5066;1584.8;2352.2;1726.8;0;19.5;66;583.5;142
430;0.0095;0.06185;0.65815;1583.4;2357.4;1726.9;0;13;84.5;902.5;169
440;0.0058;0.08305;0.7824;1569.1;2336.6;1711.9;0;8.5;121.5;1152;183
450;0.00355;0.09895;0.8558;1577.4;2353.9;1722;0;5.5;144.5;1253;181
460;0.0038;0.1252;0.9546;1575.3;2351.3;1719.9;0;5;175;1334.5;173
470;0.0055;0.27105;0.8701;1590.6;2369.2;1735.6;0;9;457.5;1476;208
480;0.0081;0.5074;0.8026;1615.8;2396.3;1761;0;14.5;908.5;1447.5;218
490;0.0114;0.6754;0.63515;1596.7;2368.9;1740.6;0;25.5;1508;1428.5;275
500;0.0207;0.8827;0.51125;1573;2342.9;1716.2;0;42.5;1807.5;1051;255
510;0.04675;0.97585;0.3302;1613.2;2387.5;1756;0;138.5;2867;978;359
520;0.09635;0.9871;0.18355;1562.1;2335.3;1705.3;0;261.5;2679;498.5;339
530;0.1675;1;0.09785;1579.3;2356.7;1722.8;0;370;2205.5;216.5;273
540;0.18855;0.93425;0.0609;1598.3;2377.7;1743.3;0;510;2513;164.5;330
550;0.16205;0.8784;0.0379;1619.4;2400.8;1764.5;0;570.5;3064.5;133;424
560;0.19165;0.7673;0.02315;1626.7;2408.1;1771.3;0;730.5;2894.5;88;457
570;0.32485;0.6972;0.01745;1596.7;2373.3;1740.6;0;1279.5;2728;68.5;481
580;0.4396;0.5365;0.0134;1599.3;2382.8;1745.5;0;1092;1327.5;33;303
590;0.49175;0.37525;0.01015;1611.5;2387;1755;0;1284;970.5;26.5;316
600;0.4515;0.2334;0.00685;1653.5;2426.6;1794;0;1221.5;619;18.5;319
610;0.41;0.11785;0.0043;1594.7;2368.6;1735.9;0;979;279.5;10;292
620;0.31515;0.04865;0.0028;1615.6;2385.2;1756;0;733.5;112;6.5;281
630;0.2725;0.03155;0.00235;1578;2348.9;1721.1;0;514;59.5;4.5;233
640;0.20385;0.0201;0.0021;1570.2;2349.1;1715.3;0;386;38;4;235
650;0.1432;0.01185;0.00185;1567.5;2346.7;1712.8;0;264.5;22;3.5;230
660;0.10075;0.0085;0.002;1562.7;2337.4;1707.2;0;188;15.5;3.5;233
670;0.071;0.0077;0.0016;1567.9;2345.1;1713.2;0;146;16;3;256
680;0.04705;0.00705;0.0012;1572.1;2345.7;1716.3;0;82;12;2;217
690;0.03385;0.00685;0.0012;1551.4;2327.1;1695.4;0;67.5;13.5;2.5;252
700;0.02015;0.0056;0.00095;1557.2;2332.6;1701.5;0;40;11;1.5;249
710;0.01225;0.00405;0.00025;1571.9;2351.3;1716.7;0;25;8;0.5;254
720;0.0081;0.003;0.0005;1576.4;2358.4;1721.7;0;17;6;1;254
730;0.00515;0.0021;0.00035;1577.4;2358;1722.8;0;9.5;4;0.5;224
740;0.00365;0.0016;0.00035;1573.9;2344.4;1715.6;0;7.5;3;0.5;243
750;0.0027;0.00165;0.0005;1574.2;2341.7;1715.4;0;5.5;3;1;237
760;0.00205;0.00155;0.00045;1566.4;2332.2;1706.9;0;3.5;2.5;0.5;196
770;0.00185;0.00135;0.0004;1563.6;2334;1704.6;0;3;2;0.5;189
780;0.0019;0.0015;0.0003;1572.3;2337.2;1712.7;0;3;2.5;0.5;197
790;0.00135;0.00125;5e-005;1562;2328;1702.5;0;2;2;0;193
800;0.0013;0.00115;0.00035;1560.4;2326.3;1700.7;0;2;2;0.5;196
810;0.00085;0.001;0.00025;1557.8;2326.8;1698.7;0;1.5;1.5;0;192
820;0.00115;0.00105;0.0005;1578.8;2352.3;1720.5;0;1.5;2;0.5;192
830;0.0021;0.00175;0.00095;1569;2337;1709.7;0;2;2;1;133
840;0.0011;0.00115;0.0005;1568.8;2338.2;1710.5;0;1.5;1.5;0.5;186
860;0.0015;0.00135;0.0004;1569.5;2343;1712;0;1.5;1.5;0.5;159
880;0.00135;0.00115;0.0004;1565.7;2340.1;1708.4;0;2;1.5;0.5;164
900;0.00115;0.001;0.0005;1641.2;2407.6;1780.6;0;1.5;1;0.5;152
950;0.0012;0.0012;0.0005;1590.9;2367.4;1733.7;0;1.5;1.5;0.5;156
1000;0.00095;0.00115;0.0002;1589.3;2358;1731.2;0;1.5;1.5;0;162
1050;0.00155;0.00125;0.00075;1574.6;2345.8;1717.5;0;2;2;1;174
1100;0.00065;0.00075;0;1584.6;2359.8;1727.6;0;1;1;0;214
