Lambda;R_SR;G_SR;B_SR;R_REF;G_REF;B_REF;EV;R_RAW;G_RAW;B_RAW;Filter calibration
380;0.0028;0.01055;0;2774.2;3034.2;2009.9;0;0.5;2;0;22
390;0.0245;0.03215;0.0702;2784.4;3044.8;2018.6;0;6;8;17.5;27
400;0.0309;0.0493;0.27535;2774.9;3034.1;2013.5;0;24;37.5;213;82
410;0.02555;0.05905;0.46335;2802.1;3063.8;2040.1;0;32;74;585.5;132
420;0.01645;0.05895;0.532;2766.9;3026.7;2010.4;0;22;78.5;712.5;142
430;0.0084;0.06235;0.67735;2772;3032;2011;0;13.5;99;1080;169
440;0.0052;0.0839;0.79895;2742.6;3000.6;1990;0;8.5;142.5;1365;183
450;0.00295;0.0978;0.85795;2767.4;3028.2;2004.7;0;5;166;1461;181
460;0.00285;0.1244;0.9537;2762.5;3022.5;2000.6;0;4.5;201.5;1548.5;173
470;0.0045;0.27;0.8606;2785.1;3045.7;2019.5;0;9;530;1696.5;208
480;0.00745;0.50385;0.7903;2808.2;3071.3;2044.2;0;15.5;1045.5;1652.5;218
490;0.0103;0.66985;0.62315;2774.2;3034.9;2019.1;0;26.5;1732.5;1623.5;275
500;0.0199;0.8684;0.49965;2751;3009.4;1995.2;0;47.5;2066;1193;255
510;0.04675;0.9642;0.3231;2791;3051.7;2034.3;0;159;3274.5;1107.5;359
520;0.09605;0.97485;0.1778;2745.4;3004.4;1986.7;0;302.5;3077.5;562;339
530;0.16885;1;0.0961;2767.7;3028;2006.2;0;432;2562.5;247;273
540;0.1929;0.95405;0.06065;2780.9;3042.3;2021.6;0;599.5;2969;189.5;330
550;0.1723;0.9266;0.03865;2800.8;3063.8;2041.7;0;693.5;3731;157;424
560;0.2149;0.84115;0.02475;2809.7;3071.6;2050;0;935;3660.5;109;457
570;0.38925;0.8137;0.01985;2772.6;3032.1;2015.7;0;1758;3679;90.5;481
580;0.56245;0.67685;0.0158;2791.2;3052.6;2026.3;0;1611;1941;45.5;303
590;0.7062;0.52315;0.0128;2788.8;3048.4;2031.4;0;2108;1562.5;38.5;316
600;0.73975;0.366;0.00965;2828.5;3086.3;2070.9;0;2261;1117.5;30;319
610;0.78355;0.2128;0.00645;2767.1;3023.9;2008.5;0;2145;582.5;18;292
620;0.75175;0.1086;0.0048;2783.2;3039;2028.3;0;1992;287.5;13;281
630;0.78145;0.08565;0.00485;2745.4;3001.8;1993.6;0;1694;185.5;10.5;233
640;0.7108;0.06575;0.0056;2755.3;3013.8;1993.6;0;1559.5;144.5;12;235
650;0.67595;0.05185;0.0074;2750.2;3009.3;1989.1;0;1449;111.5;16;230
660;0.63335;0.0489;0.01025;2736.9;2994.7;1980.4;0;1368.5;105.5;22;233
670;0.63245;0.0648;0.01385;2749;3006.9;1990.5;0;1507.5;154.5;33;256
680;0.55635;0.07675;0.0133;2744.6;3001.6;1989.5;0;1122.5;155;27;217
690;0.5464;0.10235;0.0145;2732.4;2989.1;1971.2;0;1274.5;239;34;252
700;0.50075;0.12785;0.0158;2739;2995.8;1978.5;0;1156.5;295.5;36.5;249
710;0.4573;0.13625;0.01405;2754.2;3012.3;1991.9;0;1083.5;323;33.5;254
720;0.41525;0.12725;0.01065;2765.9;3025.1;2000.1;0;988.5;303;25.5;254
730;0.38515;0.11355;0.00805;2765.4;3025.6;2001.1;0;808.5;238.5;17;224
740;0.37035;0.11985;0.00805;2750.2;3005.6;1991.8;0;838.5;271.5;18;243
750;0.33185;0.1332;0.0071;2747.2;3001.9;1992.2;0;732;294;15.5;237
760;0.3191;0.14775;0.0068;2733.4;2987.8;1980.1;0;579;268.5;12.5;196
770;0.3114;0.15645;0.0088;2741.1;2994.4;1980.7;0;546.5;274.5;15.5;189
780;0.28695;0.1609;0.0186;2742.6;2996.8;1990.2;0;525;294;34;197
790;0.2622;0.1661;0.05755;2736.2;2989.5;1980.5;0;469;297;103;193
800;0.2461;0.17375;0.12195;2731.7;2985.2;1976.4;0;446.5;315;221.5;196
810;0.2254;0.17775;0.1705;2736.5;2990.8;1977;0;401;316.5;303.5;192
820;0.21265;0.18065;0.1853;2761.2;3017.5;1999.4;0;382;324.5;334;192
830;0.19925;0.18235;0.1767;2745.5;2999.2;1987.1;0;246.5;225.5;219;133
840;0.18225;0.17205;0.1658;2740.2;2993.4;1984.4;0;314.5;297;287.5;186
860;0.1534;0.149;0.1359;2744.3;2998.9;1986;0;227;220.5;201.5;159
880;0.12015;0.1143;0.11545;2743.7;2998;1983;0;183;174.5;176.5;164
900;0.101;0.0993;0.0936;2804.5;3059.8;2053.5;0;145.5;143;137;152
950;0.0556;0.056;0.05175;2775.1;3033.4;2013.2;0;81.5;82;76.5;156
1000;0.0309;0.03055;0.02895;2759;3014.5;2005.8;0;47;46.5;44;162
1050;0.0083;0.00815;0.0067;2750.9;3008.4;1994.2;0;13.5;13;11;174
1100;0.00245;0.0022;0.0015;2768.9;3027.2;2008.4;0;5;4.5;3;214
