Lambda;R_SR;G_SR;B_SR;R_REF;G_REF;B_REF;EV;R_RAW;G_RAW;B_RAW;Filter calibration
380;0.0536;0.04885;0.0051;1158.7;1154.2;1148.8;0;1;1;0;22
390;0.04145;0.04105;0.00635;1165.6;1161.3;1155.8;0;1;1;0;27
400;0.0123;0.0122;0.0062;1165.6;1161;1156.3;0;1;1;0.5;82
410;0.0136;0.0096;0.00705;1188.8;1183.7;1179.1;0;2;2;1;132
420;0.01395;0.0108;0.0076;1166.2;1161;1156.2;0;2.5;2;1;142
430;0.0116;0.0083;0.0065;1161.8;1156.7;1152.1;0;2.5;2;1.5;169
440;0.00915;0.00665;0.0033;1149;1144.4;1139.6;0;2.5;1.5;0.5;183
450;0.0077;0.00695;0.00315;1153.4;1148.8;1143.9;0;1.5;1.5;0.5;181
460;0.0097;0.00735;0.0027;1152.3;1147.4;1142.2;0;2;1.5;0.5;173
470;0.0058;0.0054;0.0015;1165.7;1161.1;1155.6;0;1.5;1;0.5;208
480;0.00665;0.00595;0.00275;1191.2;1186.5;1181.3;0;1.5;1.5;0.5;218
490;0.0054;0.0048;0.0023;1174.8;1170.2;1165.3;0;1.5;1.5;1;275
500;0.0046;0.004;0.00065;1152.5;1147.8;1142.4;0;1.5;1;0;255
510;0.00325;0.0031;0.00105;1189.5;1185;1179.9;0;1.5;1;0.5;359
520;0.0039;0.0034;0.0019;1141.6;1137.1;1132.3;0;2;1;0.5;339
530;0.00565;0.0043;0.0021;1156.1;1151.1;1146.1;0;2;1.5;0.5;273
540;0.00355;0.00345;0.00085;1173.5;1169;1163.9;0;1;1;0;330
550;0.00405;0.00325;0.00165;1194.9;1190;1184.9;0;2.5;2;1;424
560;0.0034;0.00275;0.00125;1202.2;1197.3;1192.1;0;2;1.5;0.5;457
570;0.00305;0.0023;0.0023;1172.8;1167.9;1163.8;0;2;1.5;1;481
580;0.00385;0.00345;0.00075;1173;1168.4;1162.9;0;1.5;1;0;303
590;0.00555;0.00435;0.00335;1187.5;1182.4;1177.8;0;2;2;1;316
600;0.0047;0.00385;0.0021;1231.6;1226.8;1221.8;0;2;1.5;0.5;319
610;0.0041;0.00375;0.00045;1171.4;1166.9;1161.7;0;1.5;1.5;0;292
620;0.007;0.0054;0.0036;1193.3;1188.3;1183.4;0;2.5;2;1;281
630;0.00705;0.0058;0.0031;1157.3;1152.6;1147.6;0;2;1.5;0.5;233
640;0.00485;0.0052;0.0011;1145;1140.5;1135.2;0;1.5;1.5;0;235
650;0.00705;0.0056;0.00345;1144;1139.1;1134.3;0;2;1.5;1;230
660;0.0055;0.00505;0.00105;1139;1134.5;1129.3;0;1.5;1.5;0;233
670;0.0061;0.00515;0.00235;1146.7;1142;1136.8;0;1.5;1.5;0.5;256
680;0.0076;0.0061;0.00295;1150.2;1145.3;1140.4;0;2;1.5;0.5;217
690;0.0052;0.00445;0.00105;1127.5;1123;1117.7;0;2;1;0;252
700;0.00685;0.00515;0.0025;1134.9;1130.3;1125.3;0;2;2;0.5;249
710;0.00715;0.00555;0.0029;1146.2;1141.4;1136.4;0;2.5;1.5;1;254
720;0.0074;0.0053;0.00225;1151;1146.2;1141.1;0;2.5;1.5;0.5;254
730;0.00775;0.00515;0.0022;1151.4;1146.8;1141.8;0;2;1;0.5;224
740;0.01165;0.00705;0.00475;1152.9;1147.8;1143.3;0;3.5;2;1.5;243
750;0.0101;0.00655;0.00095;1155.8;1151.3;1146.1;0;3;2;0;237
760;0.017;0.01075;0.00335;1147.5;1142.8;1137.8;0;4;2.5;0.5;196
770;0.02485;0.01445;0.00525;1142.9;1137.7;1132.9;0;6;3;1;189
780;0.0356;0.02185;0.00515;1156.4;1151.6;1146.6;0;8.5;5.5;1.5;197
790;0.06435;0.04255;0.01665;1145.8;1141.2;1136.1;0;15.5;10;4;193
800;0.1257;0.0904;0.0645;1142.9;1138.2;1133.3;0;30.5;22;15.5;196
810;0.25345;0.2014;0.1939;1139.4;1134.6;1129.7;0;60;48;46;192
820;0.41695;0.35585;0.36285;1157.2;1152.5;1147.5;0;100.5;85.5;87.5;192
830;0.7518;0.6898;0.66795;1149.2;1144.3;1139.2;0;124.5;114.5;110.5;133
840;0.9109;0.8588;0.82945;1150.1;1144.9;1140.2;0;211;198.5;192.5;186
860;1;0.97115;0.8902;1148;1143;1138.1;0;198;192;176;159
880;0.8343;0.7958;0.8028;1143.7;1139.1;1133.7;0;169.5;161.5;163;164
900;0.6898;0.6773;0.6506;1222;1217;1212.4;0;138.5;136.5;131;152
950;0.40775;0.4114;0.3842;1167.8;1163.3;1158;0;80.5;81.5;75.5;156
1000;0.2383;0.23545;0.2271;1170.2;1165.4;1160.3;0;49;48.5;46.5;162
1050;0.07695;0.07535;0.06795;1154.1;1149.4;1144.2;0;17;16.5;15;174
1100;0.03055;0.02895;0.02485;1163.2;1158.2;1153;0;8;7.5;6.5;214
