Lambda;R_SR;G_SR;B_SR;R_REF;G_REF;B_REF;EV;R_RAW;G_RAW;B_RAW;Filter calibration
380;0.00745;0.02095;0.0152;1843.4;2771.7;1876;0;1.5;5;4;22
390;0.00725;0.01785;0.0144;1853.3;2782.5;1885.5;0;2.5;5;4.5;27
400;0.0039;0.0075;0.0243;1849.2;2772.1;1880.7;0;3.5;6.5;21;82
410;0.00775;0.0205;0.15245;1871.9;2799.3;1904.7;0;11;28.5;214.5;132
420;0.0141;0.05135;0.4576;1845.3;2764.6;1878.3;0;21;76;684;142
430;0.00905;0.06405;0.6861;1843.2;2767;1875.6;0;16;113.5;1218.5;169
440;0.0057;0.0853;0.80365;1825.3;2740.2;1858;0;10.5;161.5;1531;183
450;0.0035;0.09825;0.8615;1837.1;2763.2;1869.9;0;6.5;185.5;1633.5;181
460;0.00355;0.12655;0.96145;1834;2759.8;1867.4;0;6.5;228;1740.5;173
470;0.0053;0.2721;0.86025;1850.8;2779.5;1883.9;0;11.5;594.5;1889;208
480;0.0085;0.5059;0.7884;1876.3;2803.7;1908.6;0;20;1168;1838;218
490;0.0116;0.6769;0.6237;1853.2;2771.8;1886.4;0;34;1948.5;1813;275
500;0.02175;0.8713;0.49595;1829.8;2747.1;1861.9;0;58;2305;1319.5;255
510;0.0487;0.96885;0.32;1869.5;2786.9;1900.6;0;186.5;3661;1223.5;359
520;0.0989;0.97985;0.1763;1818.5;2738.2;1850.7;0;348;3435.5;620;339
530;0.1703;1;0.09685;1837.1;2761.3;1870.2;0;487.5;2847;277;273
540;0.192;0.95995;0.06185;1854;2776.6;1887.3;0;670;3322;215.5;330
550;0.1708;0.9133;0.03895;1875.7;2798;1908.1;0;775;4092;176.5;424
560;0.20915;0.80215;0.0249;1882.3;2805.6;1915;0;1026.5;3884.5;122;457
570;0.3556;0.73885;0.02;1851.6;2770;1884.3;0;1806.5;3718;101.5;481
580;0.4829;0.58645;0.01575;1855.7;2782.4;1889.2;0;1549;1867.5;50.5;303
590;0.5611;0.4214;0.01185;1865.1;2782.5;1896.8;0;1887;1399.5;40;316
600;0.5382;0.26915;0.0082;1906.8;2820.1;1934.9;0;1867.5;914.5;28.5;319
610;0.5048;0.1394;0.00585;1846.3;2758.6;1875.8;0;1552.5;424;18;292
620;0.40515;0.06095;0.0035;1866.6;2775.9;1895.7;0;1212;179.5;10.5;281
630;0.3696;0.04285;0.0032;1829.1;2739.4;1861;0;898.5;103;7.5;233
640;0.29105;0.0282;0.00305;1825.4;2748.6;1858.7;0;712;68.5;7.5;235
650;0.2224;0.01795;0.0032;1824.8;2750.4;1857.9;0;532.5;43;7.5;230
660;0.17195;0.014;0.0034;1818.2;2738.5;1851.5;0;415.5;34;8.5;233
670;0.1183;0.0125;0.00275;1825.4;2749.4;1859.1;0;315.5;33.5;7;256
680;0.05155;0.00725;0.00175;1827.5;2745.9;1861.6;0;116.5;16;4;217
690;0.0125;0.0025;0.00055;1807.7;2730.4;1840.6;0;32.5;6.5;1.5;252
700;0.0022;0.00105;0.00055;1813.9;2737;1847.6;0;5.5;2.5;1.5;249
710;0.001;0.00055;0;1829;2753.3;1861.1;0;3;1.5;0;254
720;0.0005;0.0006;0.00065;1832.8;2760.6;1867.2;0;1.5;1.5;1.5;254
730;0.0006;0.0006;0.0006;1841.6;2780.6;1878.2;0;1.5;1.5;1;224
740;0.0007;0.00055;0.0006;1834;2757.7;1868.4;0;2;1.5;1.5;243
750;0.0007;0.00065;0.0005;1831.8;2750.3;1866.3;0;1.5;2;1;237
760;0.0005;0.00055;0.00035;1824.5;2742.7;1858.3;0;1;1;0.5;196
770;0.00055;0.00065;0.00035;1822.9;2746.2;1856.3;0;1.5;1.5;0.5;189
780;0.0009;0.001;0.00075;1830;2746.7;1864.9;0;2;2;1.5;197
790;0.001;0.0009;0.00065;1820;2737.3;1854.1;0;2;2;1;193
800;0.0005;0.00075;0.0006;1818.2;2736.4;1852.2;0;1.5;1.5;1;196
810;0.00055;0.0007;0.0005;1817.7;2740;1851.6;0;1;1.5;1;192
820;0.0006;0.0008;0.0006;1838.7;2765.5;1873.2;0;1.5;1.5;1;192
830;0.00115;0.00095;0.0009;1827.8;2748.4;1861.7;0;1.5;1;1;133
840;0.00075;0.0007;0.00045;1824.7;2741.4;1857.8;0;1.5;1;1;186
860;0.0009;0.0004;0.0004;1826.3;2747.3;1859.8;0;1.5;0.5;0.5;159
880;0.00065;0.0008;0.00065;1822.6;2745.8;1856.5;0;1.5;1;1;164
900;0.00095;0.00065;0.00055;1894.9;2803.7;1925.3;0;1.5;1;1;152
950;0.00055;0.00095;0.00085;1848.6;2773.9;1882.8;0;1;1.5;1;156
1000;0.00065;0.0006;0.0001;1845;2759.3;1878.3;0;1.5;0.5;0;162
1050;0.0006;0.00075;0.001;1830.6;2751;1866.4;0;1.5;1.5;1.5;174
1100;0.00075;0.00045;0.0003;1843.5;2766.9;1877.5;0;2;1;0.5;214
