"wavelength","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"300.4","9.6E-5","8.78E-5","5.0E-5","2.67E-5","4.8E-5","3.72E-5","7.55E-6","-7.02E-6","9.37E-6","0","4.69E-6","1.0E-5","1.24E-5","9.37E-6","2.86E-5","1.54E-5","1.29E-5","1.08E-5","0","0","-4.69E-6","9.37E-6","-3.01E-6","5.7E-6"
"301.2","0.0001031","4.83E-5","4.96E-5","2.64E-5","7.93E-5","2.77E-5","0","2.09E-5","4.63E-6","0","4.63E-6","7.93E-6","4.9E-6","2.31E-5","1.42E-5","0","0","1.07E-5","4.63E-6","7.21E-6","4.63E-6","4.63E-6","5.95E-6","4.5E-6"
"302","8.5E-5","4.71E-5","2.42E-5","1.29E-5","7.73E-5","2.7E-5","7.29E-6","2.03E-5","4.56E-6","9.13E-6","2.28E-5","5.87E-6","9.66E-6","4.56E-6","0","-1.49E-5","1.25E-5","0","4.56E-6","7.02E-6","4.56E-6","0","5.87E-6","2.22E-6"
"302.8","0.0001063","6.48E-5","4.75E-5","2.53E-5","4.56E-5","3.53E-5","2.15E-5","0","0","4.51E-6","1.35E-5","9.65E-6","4.77E-6","9.01E-6","4.07E-5","2.92E-5","1.23E-5","0","0","0","0","9.01E-6","2.9E-6","3.29E-6"
"303.6","9.73E-5","6.39E-5","5.84E-5","1.25E-5","2.99E-5","0","-7.06E-6","6.56E-6","0","8.89E-6","4.45E-6","5.72E-6","4.71E-6","1.78E-5","2.67E-5","2.88E-5","0","-1.01E-5","0","-6.8E-6","0","1.33E-5","2.86E-6","5.41E-6"
"304.4","0.0001027","6.26E-5","3.44E-5","4.89E-5","8.8E-5","2.56E-5","6.92E-6","6.43E-6","1.32E-5","4.39E-6","1.32E-5","3.76E-6","4.65E-6","1.32E-5","1.31E-5","1.41E-5","1.18E-5","0","4.39E-6","0","8.78E-6","8.78E-6","5.64E-6","4.27E-6"
"305.2","0.0001013","2.65E-5","7.92E-5","2.41E-5","1.45E-5","1.68E-5","6.83E-6","1.91E-5","4.33E-6","4.33E-6","-4.33E-6","9.29E-6","2.29E-6","-4.33E-6","1.29E-5","4.18E-5","-1.17E-5","0","4.33E-6","1.97E-5","0","0","2.79E-6","5.27E-6"
"306","8.55E-5","7.82E-5","2.23E-5","3.56E-5","4.28E-5","0","1.35E-5","6.25E-6","8.56E-6","1.28E-5","1.28E-5","7.34E-6","1.13E-5","-4.28E-6","2.55E-5","-1.37E-5","1.15E-5","0","0","0","8.56E-6","0","5.51E-6","4.17E-6"
"306.9","9.9E-5","9.49E-5","5.53E-5","3.54E-5","2.83E-5","3.29E-5","2.67E-5","2.48E-5","1.27E-5","0","0","5.44E-6","8.95E-6","4.23E-6","3.79E-5","0","3.42E-5","9.56E-6","0","0","8.46E-6","8.46E-6","5.44E-6","1.03E-6"
"307.7","9.77E-5","5.1E-5","7.63E-5","4.65E-5","1.4E-5","2.43E-5","6.58E-6","0","0","8.35E-6","4.17E-6","3.58E-6","6.63E-6","8.35E-6","1.25E-5","0","1.13E-5","-9.43E-6","-4.17E-6","1.27E-5","4.17E-6","4.17E-6","2.68E-6","4.06E-6"
"308.5","9.55E-5","4.99E-5","7.46E-5","5.69E-5","2.73E-5","3.17E-5","1.29E-5","2.39E-5","1.65E-5","0","1.24E-5","7.07E-6","4.37E-6","0","1.22E-5","1.31E-5","2.2E-5","-9.22E-6","4.12E-6","1.86E-5","8.25E-6","8.25E-6","5.3E-6","5.01E-6"
"309.3","9.45E-5","6.58E-5","4.22E-5","3.37E-5","6.75E-5","2.35E-5","1.91E-5","5.92E-6","8.14E-6","-4.07E-6","8.14E-6","3.49E-6","2.15E-6","0","2.41E-5","-1.3E-5","2.18E-5","9.12E-6","0","6.14E-6","1.63E-5","1.22E-5","5.23E-6","3.96E-6"
"310.1","0.0001048","7.99E-5","7.16E-5","1.09E-5","5.24E-5","7.61E-6","-6.18E-6","1.72E-5","4.02E-6","8.03E-6","-8.03E-6","1.72E-6","6.38E-6","4.02E-6","-2.34E-5","1.26E-5","0","-2.66E-5","-8.03E-6","1.19E-5","-4.02E-6","4.02E-6","5.16E-6","3.91E-6"
"310.9","0.0001103","8.71E-5","7.1E-5","3.25E-5","1.3E-5","3.02E-5","1.22E-5","5.69E-6","7.94E-6","-7.94E-6","3.97E-6","5.1E-6","4.2E-6","0","-1.16E-5","3.74E-5","0","-8.77E-6","3.97E-6","0","7.94E-6","7.94E-6","5.1E-6","2.9E-6"
"311.7","0.0001041","9.52E-5","7.11E-5","7.59E-5","3.9E-5","2.27E-5","2.45E-5","1.71E-5","7.85E-6","0","3.92E-6","6.73E-6","4.15E-6","0","-1.16E-5","0","-1.05E-5","8.79E-6","3.92E-6","5.91E-6","7.85E-6","3.92E-6","5.04E-6","4.77E-6"
"312.5","0.0001084","8.55E-5","6.97E-5","5.31E-5","2.55E-5","1.48E-5","6.02E-6","0","1.16E-5","0","3.88E-6","8.31E-6","2.05E-6","3.88E-6","-1.14E-5","-1.23E-5","1.03E-5","0","3.88E-6","5.8E-6","1.16E-5","3.88E-6","4.99E-6","3.77E-6"
"313.3","0.0001196","6.91E-5","6.88E-5","3.15E-5","5.03E-5","2.93E-5","2.37E-5","1.1E-5","7.67E-6","3.84E-6","1.15E-5","3.29E-6","1.42E-5","7.67E-6","0","-1.21E-5","3.05E-5","1.7E-5","0","-5.72E-6","1.15E-5","3.84E-6","-2.47E-6","9.33E-7"
"314.2","9.28E-5","0.0001056","7.73E-5","2.06E-5","2.48E-5","2.16E-5","5.84E-6","5.43E-6","3.8E-6","7.6E-6","1.14E-5","9.77E-6","8.05E-6","3.8E-6","-2.21E-5","-2.38E-5","-9.98E-6","-8.36E-6","3.8E-6","5.63E-6","3.8E-6","0","4.89E-6","9.25E-7"
"315","0.0001232","9.01E-5","7.7E-5","5.13E-5","4.93E-5","7.16E-6","1.74E-5","1.08E-5","1.13E-5","3.76E-6","3.76E-6","8.05E-6","5.97E-6","3.76E-6","-1.1E-5","0","1.99E-5","0","1.13E-5","0","7.52E-6","3.76E-6","7.25E-6","4.57E-6"
"315.8","0.000116","9.68E-5","2.86E-5","6.11E-5","2.44E-5","2.13E-5","1.15E-5","1.07E-5","1.86E-5","7.44E-6","3.72E-6","7.98E-6","1.97E-6","7.44E-6","1.09E-5","1.17E-5","1.97E-5","8.25E-6","7.44E-6","5.55E-6","-3.72E-6","7.44E-6","0","1.81E-6"
"316.6","0.0001144","0.0001102","7.53E-5","5.02E-5","4.82E-5","1.4E-5","1.7E-5","2.11E-5","1.11E-5","7.38E-6","3.69E-6","7.9E-6","7.81E-6","7.38E-6","0","1.16E-5","0","1.63E-5","0","5.47E-6","7.38E-6","1.11E-5","0","3.59E-6"
"317.4","0.000125","9.44E-5","7.44E-5","5.95E-5","5.95E-5","3.46E-5","1.12E-5","1.04E-5","7.3E-6","7.3E-6","3.65E-6","4.69E-6","3.87E-6","3.65E-6","1.06E-5","0","0","8.04E-6","7.3E-6","-1.08E-5","1.1E-5","0","0","4.44E-6"
"318.2","0.0001174","0.0001003","6.42E-5","5.87E-5","2.35E-5","2.73E-5","1.66E-5","1.03E-5","7.22E-6","7.22E-6","7.22E-6","4.64E-6","5.74E-6","7.22E-6","1.05E-5","2.26E-5","9.47E-6","7.94E-6","7.22E-6","5.34E-6","3.61E-6","0","9.29E-6","4.39E-6"
"319","0.0001212","8.45E-5","6.31E-5","5.77E-5","4.62E-5","0","2.18E-5","1.52E-5","1.79E-5","7.16E-6","3.58E-6","4.6E-6","7.58E-6","3.58E-6","4.12E-5","0","0","0","0","1.05E-5","0","3.58E-6","9.2E-6","3.48E-6"
"319.8","0.0001198","9.04E-5","8.02E-5","3.8E-5","4.56E-5","0","1.61E-5","1.5E-5","2.13E-5","7.09E-6","3.54E-6","9.11E-6","5.63E-6","7.09E-6","3.06E-5","0","1.84E-5","7.71E-6","3.54E-6","1.04E-5","7.09E-6","1.06E-5","4.56E-6","2.59E-6"
"320.6","0.0001367","9.73E-5","7.12E-5","3.8E-5","3.42E-5","1.99E-5","2.15E-5","1.5E-5","1.4E-5","-3.51E-6","1.05E-5","7.51E-6","1.86E-6","7.01E-6","1.02E-5","0","1.84E-5","1.54E-5","3.51E-6","0","1.4E-5","7.01E-6","2.25E-6","3.41E-6"
"321.5","0.0001124","0.0001097","5.27E-5","4.68E-5","4.5E-5","1.31E-5","3.18E-5","1.48E-5","1.04E-5","0","6.95E-6","5.96E-6","9.2E-6","3.47E-6","0","0","0","1.52E-5","6.95E-6","1.02E-5","1.04E-5","6.95E-6","2.23E-6","5.07E-6"
"322.3","0.0001168","9.5E-5","6.95E-5","3.71E-5","5.56E-5","1.94E-5","2.62E-5","9.76E-6","6.89E-6","-3.44E-6","6.89E-6","5.9E-6","3.65E-6","0","9.93E-6","0","2.69E-5","7.52E-6","6.89E-6","5.06E-6","6.89E-6","6.89E-6","6.64E-6","5.03E-6"
"323.1","0.0001204","0.0001201","8.55E-5","3.65E-5","6.57E-5","3.18E-5","2.06E-5","1.44E-5","1.37E-5","0","1.37E-5","4.39E-6","5.42E-6","0","1.95E-5","-1.05E-5","8.82E-6","-7.39E-6","6.83E-6","4.97E-6","1.02E-5","3.41E-6","2.19E-6","3.32E-6"
"323.9","0.0001361","0.0001062","7.66E-5","7.26E-5","5.44E-5","1.9E-5","2.05E-5","1.43E-5","1.69E-5","-3.38E-6","6.76E-6","7.24E-6","5.37E-6","-6.76E-6","-9.72E-6","2.09E-5","3.51E-5","-7.36E-6","3.38E-6","1.49E-5","6.76E-6","6.76E-6","8.69E-6","3.29E-6"
"324.7","0.0001408","9.91E-5","6.77E-5","4.51E-5","5.42E-5","2.52E-5","3.58E-5","1.43E-5","1.34E-5","6.7E-6","6.7E-6","5.74E-6","5.32E-6","0","1.94E-5","0","8.74E-6","7.32E-6","-3.35E-6","1.97E-5","1.0E-5","1.0E-5","4.31E-6","1.63E-6"
"325.5","0.0001384","0.0001104","4.99E-5","4.44E-5","4.26E-5","2.48E-5","3.01E-5","1.4E-5","1.33E-5","1.33E-5","3.32E-6","8.54E-6","1.76E-6","0","-9.51E-6","1.02E-5","0","0","3.32E-6","4.84E-6","1.33E-5","6.64E-6","2.14E-6","4.04E-6"
"326.3","0.0001318","0.0001221","6.59E-5","5.27E-5","2.11E-5","3.06E-5","1.99E-5","4.62E-6","0","6.58E-6","3.29E-6","5.64E-6","6.97E-6","0","-9.41E-6","2.03E-5","3.4E-5","1.42E-5","3.29E-6","9.58E-6","3.29E-6","0","4.23E-6","4.0E-6"
"327.1","0.0001415","0.0001022","6.55E-5","4.37E-5","3.14E-5","2.44E-5","4.94E-6","4.6E-6","0","9.79E-6","9.79E-6","9.79E-6","1.73E-6","9.79E-6","-9.36E-6","0","0","7.08E-6","0","4.76E-6","9.79E-6","1.31E-5","6.3E-6","1.59E-6"
"327.9","0.0001406","0.0001079","8.95E-5","6.07E-5","3.12E-5","2.42E-5","2.46E-5","2.28E-5","9.71E-6","6.48E-6","6.48E-6","4.16E-6","0","0","0","2.0E-5","0","0","-3.24E-6","-9.47E-6","6.48E-6","9.71E-6","4.16E-6","3.94E-6"
"328.8","0.0001386","0.0001064","7.22E-5","4.28E-5","4.11E-5","2.98E-5","1.94E-5","9.01E-6","1.28E-5","0","9.62E-6","5.5E-6","6.79E-6","-3.21E-6","9.17E-6","0","0","1.39E-5","-3.21E-6","0","6.42E-6","6.42E-6","4.13E-6","4.68E-6"
"329.6","0.0001575","0.0001053","6.35E-5","5.93E-5","2.03E-5","2.95E-5","2.4E-5","2.23E-5","9.54E-6","6.36E-6","9.54E-6","4.09E-6","1.68E-6","0","-9.07E-6","9.77E-6","8.19E-6","0","6.36E-6","4.62E-6","3.18E-6","6.36E-6","0","7.74E-7"
"330.4","0.0001449","0.0001097","6.25E-5","5.83E-5","4.0E-5","2.32E-5","1.89E-5","1.32E-5","9.46E-6","6.31E-6","3.15E-6","5.41E-6","5.01E-6","9.46E-6","0","0","8.06E-6","6.75E-6","9.46E-6","4.54E-6","6.31E-6","1.58E-5","0","2.3E-6"
"331.2","0.000158","0.0001144","7.72E-5","4.12E-5","2.96E-5","3.45E-5","2.8E-5","2.6E-5","3.13E-6","-3.13E-6","6.26E-6","4.03E-6","4.97E-6","3.13E-6","8.82E-6","0","-1.59E-5","1.34E-5","9.39E-6","8.98E-6","6.26E-6","6.26E-6","4.03E-6","3.81E-6"
"332","0.000163","0.0001145","0.0001004","3.29E-5","2.96E-5","3.45E-5","1.86E-5","3.03E-5","6.22E-6","6.22E-6","6.22E-6","8.0E-6","4.94E-6","-3.11E-6","8.82E-6","9.5E-6","0","6.68E-6","6.22E-6","0","6.22E-6","3.11E-6","6.0E-6","1.51E-6"
"332.8","0.0001714","0.0001314","7.65E-5","4.08E-5","2.94E-5","2.85E-5","2.77E-5","2.58E-5","3.08E-6","3.08E-6","1.23E-5","3.96E-6","8.16E-6","0","0","0","1.58E-5","1.32E-5","6.17E-6","4.45E-6","0","6.17E-6","1.98E-6","4.5E-6"
"333.6","0.0001843","0.0001242","7.58E-5","5.66E-5","3.88E-5","2.26E-5","1.83E-5","2.13E-5","1.23E-5","6.13E-6","3.06E-6","6.56E-6","1.62E-6","-3.06E-6","-1.73E-5","0","-7.82E-6","6.55E-6","6.13E-6","4.41E-6","9.19E-6","-3.06E-6","3.94E-6","2.24E-6"
"334.4","0.000178","0.0001173","7.52E-5","5.61E-5","6.73E-5","2.24E-5","2.27E-5","1.69E-5","6.08E-6","3.04E-6","1.52E-5","7.81E-6","6.44E-6","-3.04E-6","8.59E-6","-9.25E-6","1.55E-5","1.95E-5","-3.04E-6","4.37E-6","3.04E-6","1.22E-5","3.91E-6","1.48E-6"
"335.2","0.0001858","0.0001278","6.7E-5","6.35E-5","5.72E-5","2.22E-5","2.7E-5","2.09E-5","6.03E-6","0","3.02E-6","6.47E-6","3.19E-6","-3.02E-6","8.51E-6","0","0","1.29E-5","3.02E-6","4.33E-6","3.02E-6","6.03E-6","3.88E-6","3.67E-6"
"336.1","0.0002131","0.0001386","9.62E-5","4.74E-5","3.79E-5","2.75E-5","2.23E-5","1.25E-5","5.99E-6","5.99E-6","5.99E-6","3.85E-6","3.17E-6","-8.98E-6","0","0","7.64E-6","1.28E-5","8.98E-6","4.31E-6","5.99E-6","8.98E-6","7.7E-6","2.91E-6"
"336.9","0.0002172","0.0001439","8.85E-5","3.93E-5","4.72E-5","2.75E-5","1.78E-5","1.66E-5","5.95E-6","5.95E-6","2.98E-6","5.1E-6","1.58E-6","-2.98E-6","0","9.08E-6","1.52E-5","-6.38E-6","8.93E-6","8.58E-6","8.93E-6","2.98E-6","7.65E-6","2.9E-6"
"337.7","0.0002199","0.0001484","9.5E-5","5.46E-5","4.68E-5","1.63E-5","1.77E-5","2.05E-5","0","2.95E-6","-2.95E-6","7.59E-6","3.13E-6","0","8.36E-6","-9.0E-6","7.55E-6","6.32E-6","-5.9E-6","0","5.9E-6","5.9E-6","3.8E-6","3.59E-6"
"338.5","0.000246","0.0001471","9.43E-5","3.09E-5","8.35E-5","2.7E-5","2.19E-5","1.22E-5","5.87E-6","1.17E-5","8.8E-6","6.29E-6","6.21E-6","5.87E-6","8.29E-6","8.92E-6","7.49E-6","1.88E-5","2.93E-6","1.27E-5","8.8E-6","5.87E-6","0","2.85E-6"
"339.3","0.0002392","0.0001458","8.62E-5","5.37E-5","4.6E-5","1.6E-5","2.17E-5","2.02E-5","5.83E-6","5.83E-6","5.83E-6","5.0E-6","3.09E-6","-2.91E-6","1.64E-5","-8.85E-6","-7.42E-6","1.87E-5","0","-4.18E-6","2.91E-6","8.74E-6","3.75E-6","2.13E-6"
